Name,Fame_Level,Short_Description,Gender,Category
Micheál Martin,3,"Taoiseach of Ireland, leader of the Fianna Fáil party.",Male,Politicians
Milo Đukanović,3,"President of Montenegro, former Prime Minister.",Male,Politicians
Mokgweetsi Masisi,3,"President of Botswana, former Minister of Education.",Male,Politicians
Muhammadu Buhari,3,"President of Nigeria, former military ruler.",Male,Politicians
Muqtada al-Sadr,3,"Iraqi Shia cleric, political leader, and militia commander.",Male,Politicians
Paula-Mae Weekes,3,"President of Trinidad and Tobago, former judge.",Female,Politicians
Sahle-Work Zewde,3,"President of Ethiopia, first woman to hold the office.",Female,Politicians
Salome Zourabichvili,3,"President of Georgia, former French career diplomat.",Female,Politicians
Simonetta Sommaruga,3,"Swiss politician, President of the Swiss Confederation in 2020.",Female,Politicians
Stefan Löfven,3,"Prime Minister of Sweden, former trade unionist.",Male,Politicians
Tsai Ing-wen,3,"President of Taiwan, former professor of law.",Female,Politicians
Viktor Orbán,3,"Prime Minister of Hungary, president of the national conservative Fidesz political party.",Male,Politicians
Christiane Nüsslein-Volhard,3,"Biologist known for her work on the genetic control of embryonic development, for which she was awarded the Nobel Prize in Physiology or Medicine.",Female,Scientists
David J. Gross,3,"Theoretical physicist known for his work on the strong interaction, for which he was awarded the Nobel Prize in Physics.",Male,Scientists
François Englert,3,"Theoretical physicist known for his work on the ... mechanism and … boson, for which he was awarded the Nobel Prize in Physics.",Male,Scientists
George F. Smoot,3,"Astrophysicist known for his work on cosmic microwave background radiation, for which he was awarded the Nobel Prize in Physics.",Male,Scientists
Günter Blobel,3,"Biologist known for his work on protein targeting, for which he was awarded the Nobel Prize in Physiology or Medicine.",Male,Scientists
Mario Molina,3,"Chemist known for his work on the threat to the Earth's ozone layer of CFC gases, for which he was awarded the Nobel Prize in Chemistry.",Male,Scientists
Peter Agre,3,"Biologist known for his discovery of aquaporins, for which he was awarded the Nobel Prize in Chemistry.",Male,Scientists
Richard J. Roberts,3,"Biochemist known for his discovery of split genes, for which he was awarded the Nobel Prize in Physiology or Medicine.",Male,Scientists
Roderick MacKinnon,3,"Biophysicist known for his work on potassium channels, for which he was awarded the Nobel Prize in Chemistry.",Male,Scientists
Serge Haroche,3,"Physicist known for his work on quantum systems, for which he was awarded the Nobel Prize in Physics.",Male,Scientists
Susumu Tonegawa,3,"Biologist known for his work on antibody diversity, for which he was awarded the Nobel Prize in Physiology or Medicine.",Male,Scientists
Birgit Fischer,3,"German former kayaker, eight-time Olympic champion.",Female,Sport/Athletes
Bobby Orr,3,"Canadian former professional ice hockey player, widely acknowledged as one of the greatest of all time.",Male,Sport/Athletes
Brian Lara,3,"Trinidadian former international cricketer, widely acknowledged as one of the greatest batsmen of all time.",Male,Sport/Athletes
Brian O'Driscoll,3,"Irish former professional Rugby Union player, widely regarded as one of the greatest rugby players of all time.",Male,Sport/Athletes
Diana Taurasi,3,American professional basketball player for the Phoenix Mercury in the WNBA.,Female,Sport/Athletes
Edwin Moses,3,"American former track and field athlete, two-time Olympic gold medalist in the 400 meters hurdles.",Male,Sport/Athletes
Emil Zátopek,3,"Czechoslovak long-distance runner, winner of three gold medals at the 1952 Summer Olympics.",Male,Sport/Athletes
Hakeem Olajuwon,3,"Nigerian-American former professional basketball player, considered one of the greatest centers in the history of the NBA.",Male,Sport/Athletes
Isabell Werth,3,German equestrian and the most decorated Olympic equestrian of all time.,Female,Sport/Athletes
Javier Hernández,3,"Mexican professional footballer, known for his time at Manchester United and Bayer Leverkusen.",Male,Sport/Athletes
Jean-Claude Killy,3,French former alpine ski racer and a triple Olympic champion.,Male,Sport/Athletes
Lisa Leslie,3,"American former professional basketball player, three-time WNBA MVP and four-time Olympic gold medalist.",Female,Sport/Athletes
Martina Navratilova,3,"Former professional tennis player and coach, considered one of the greatest female tennis players of all time.",Female,Sport/Athletes
Michelle Kwan,3,"American figure skating coach and former competitor, two-time Olympic medalist.",Female,Sport/Athletes
Nastia Liukin,3,"American retired artistic gymnast, 2008 Olympic all-around champion.",Female,Sport/Athletes
Natalie Coughlin,3,American former competition swimmer and twelve-time Olympic medalist.,Female,Sport/Athletes
Sheryl Swoopes,3,American former professional basketball player and three-time Olympic gold medalist.,Female,Sport/Athletes
Tony Hawk,3,"American professional skateboarder, entrepreneur, and owner of the skateboard company Birdhouse.",Male,Sport/Athletes
Valentina Vezzali,3,"Italian fencer and politician, six-time Olympic champion.",Female,Sport/Athletes
Anthony Doerr,3,"American author, known for his historical novel ""All the Light We Cannot See"".",Male,Writers/Authors
Celeste Ng,3,"American author, recognized for her novels ""Little Fires Everywhere"" and ""Everything I Never Told You"".",Female,Writers/Authors
David Mitchell,3,"English novelist, recognized for his novel ""Cloud Atlas"".",Male,Writers/Authors
Han Kang,3,"South Korean author, known for her novel ""The Vegetarian"".",Female,Writers/Authors
Liane Moriarty,3,"Australian author, famous for her novel ""Big Little Lies"".",Female,Writers/Authors
Madeline Miller,3,"American author, known for her novel ""Circe"".",Female,Writers/Authors
Marlon James,3,"Jamaican novelist, known for his novel ""A Brief History of Seven Killings"".",Male,Writers/Authors
Mohsin Hamid,3,"Pakistani novelist, recognized for ""Exit West"" and ""The Reluctant Fundamentalist"".",Male,Writers/Authors
Ottessa Moshfegh,3,"American author, known for her novel ""My Year of Rest and Relaxation"".",Female,Writers/Authors
Rainbow Rowell,3,"American author, known for her young adult and adult contemporary novels, such as ""Eleanor & Park"".",Female,Writers/Authors
Tara Westover,3,"American author, recognized for her memoir ""Educated"".",Female,Writers/Authors
Tommy Orange,3,"American author, known for his novel ""There There"".",Male,Writers/Authors
Viet Thanh Nguyen,3,"Vietnamese-American author, recognized for his novel ""The Sympathizer"".",Male,Writers/Authors
Yaa Gyasi,3,"Ghanaian-American novelist, known for her novel ""Homegoing"".",Female,Writers/Authors
Yuval Noah Harari,3,"Israeli historian and author, known for his best-selling book ""Sapiens: A Brief History of Humankind"".",Male,Writers/Authors
Zadie Smith,3,"English novelist, recognized for her debut novel ""White Teeth"".",Female,Writers/Authors
